PID, Date, Time, RunType, Scenario, Trial, Task, Mode, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,5/7/2015,20:32:36,Main Run,1B,1,TDT Short,NA,Start Run,0:00:00.00,0,NA,NA,
xxx,5/7/2015,20:32:41,Main Run,1B,2,Nav Easy,Hybrid,Jump to trial 2,0:00:00.00,0,NA,NA,
xxx,5/7/2015,20:32:50,Main Run,1B,2,Nav Easy,Hybrid,(nav) end prompt,0:00:09.36,9.362,NA,NA,
xxx,5/7/2015,20:32:57,Main Run,1B,2,Nav Easy,Hybrid,(nav) line 3,0:00:16.14,6.784,no,NA,
xxx,5/7/2015,20:32:57,Main Run,1B,2,Nav Easy,Hybrid,show confirmation,0:00:16.41,0.273,NA,NA,
xxx,5/7/2015,20:33:02,Main Run,1B,3,Nav Hard,Hybrid,start trial 3,0:00:21.45,5.032,NA,NA,
xxx,5/7/2015,20:33:04,Main Run,1B,3,Nav Hard,Hybrid,(nav) end prompt,0:00:22.88,1.435,NA,NA,
xxx,5/7/2015,20:33:18,Main Run,1B,4,Nav Hard,Hybrid,Jump to trial 4,0:00:00.00,-22.886,NA,NA,
xxx,5/7/2015,20:33:19,Main Run,1B,4,Nav Hard,Hybrid,(nav) end prompt,0:00:01.32,1.324,NA,NA,
xxx,5/7/2015,20:34:11,Main Run,1B,4,Nav Hard,Hybrid,(nav) line 5,0:00:52.78,51.462,yes,NA,
xxx,5/7/2015,20:34:11,Main Run,1B,4,Nav Hard,Hybrid,show confirmation,0:00:53.01,0.226,NA,NA,
xxx,5/7/2015,20:34:16,Main Run,1B,5,Nav Hard,Hybrid,start trial 5,0:00:58.04,5.033,NA,NA,
xxx,5/7/2015,20:34:17,Main Run,1B,5,Nav Hard,Hybrid,(nav) end prompt,0:00:59.16,1.122,NA,NA,
