xxx,5/5/2015,16:16:51,Main Run,4A,1,TDT Long,NA,change scenario,0:00:19.72,19.726,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Mode, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,5/5/2015,16:16:52,Main Run,4A,1,TDT Long,NA,Start Run,0:00:00.00,0,NA,NA,
xxx,5/5/2015,16:16:56,Main Run,4A,2,Radio,Visual Only,Jump to trial 2,0:00:00.00,0,NA,NA,
xxx,5/5/2015,16:16:57,Main Run,4A,2,Radio,Visual Only,chime,0:00:01.12,1.125,NA,NA,
xxx,5/5/2015,16:16:59,Main Run,4A,2,Radio,Visual Only,chime,0:00:03.21,2.094,NA,NA,
xxx,5/5/2015,16:17:02,Main Run,4A,2,Radio,Visual Only,r_command_correct,0:00:05.95,2.734,NA,NA,
xxx,5/5/2015,16:17:08,Main Run,4A,2,Radio,Visual Only,r_confirm_correct,0:00:11.51,5.563,NA,yes,
xxx,5/5/2015,16:17:08,Main Run,4A,3,Radio,Visual Only,next trial,0:00:11.54,0.031,NA,NA,
xxx,5/5/2015,16:17:10,Main Run,4A,3,Radio,Visual Only,chime,0:00:13.78,2.235,NA,NA,
xxx,5/5/2015,17:02:17,Main Run,2A,1,TDT Long,NA,change scenario,17:02:17.97,63566442137.971,NA,NA,
xxx,5/5/2015,17:07:53,Main Run,3B,1,TDT Short,NA,change scenario,17:07:53.09,63566442473.091,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Mode, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,5/6/2015,14:06:34,Main Run,1A,7,Nav Hard,Audio Only,Jump to trial 7,0:00:00.00,0.001,NA,NA,
xxx,5/6/2015,14:06:35,Main Run,1A,7,Nav Hard,Audio Only,(nav) end prompt,0:00:01.35,1.354,NA,NA,
xxx,5/6/2015,16:58:31,Main Run,1A,1,TDT Long,NA,Start Run,0:00:00.00,0,NA,NA,
xxx,5/6/2015,16:58:36,Main Run,1A,1,TDT Long,NA,chime,0:00:05.01,5.017,NA,NA,
