PID, Date, Time, RunType, Scenario, Trial, Task, Mode, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,5/17/2015,17:53:18,Main Run,1B,9,Radio,Visual Only,Jump to trial 9,0:00:00.00,0,NA,NA,
xxx,5/17/2015,17:53:20,Main Run,1B,9,Radio,Visual Only,chime,0:00:02.46,2.463,NA,NA,
xxx,5/17/2015,17:53:22,Main Run,1B,9,Radio,Visual Only,r_command_correct,0:00:04.19,1.73,NA,NA,
xxx,5/17/2015,17:56:18,Main Run,2B,1,TDT Short,NA,Start Run,0:00:00.00,0,NA,NA,
xxx,5/17/2015,17:56:23,Main Run,2B,1,TDT Short,NA,chime,0:00:05.02,5.025,NA,NA,
xxx,5/17/2015,17:56:26,Main Run,2B,2,Radio,Visual Only,Jump to trial 2,0:00:00.00,-5.025,NA,NA,
xxx,5/17/2015,17:56:29,Main Run,2B,2,Radio,Visual Only,chime,0:00:03.23,3.237,NA,NA,
xxx,5/17/2015,17:56:30,Main Run,2B,2,Radio,Visual Only,r_command_correct,0:00:04.11,0.874,NA,NA,
xxx,5/17/2015,17:56:35,Main Run,2B,2,Radio,Visual Only,r_confirm_correct,0:00:09.03,4.92,NA,yes,
xxx,5/17/2015,17:56:35,Main Run,2B,3,Radio,Visual Only,next trial,0:00:09.06,0.038,NA,NA,
xxx,5/17/2015,17:56:38,Main Run,2B,3,Radio,Visual Only,chime,0:00:12.28,3.22,NA,NA,
xxx,5/17/2015,17:56:39,Main Run,2B,3,Radio,Visual Only,r_command_correct,0:00:13.59,1.301,NA,NA,
xxx,5/17/2015,17:56:44,Main Run,2B,3,Radio,Visual Only,r_confirm_correct,0:00:18.20,4.617,NA,yes,
xxx,5/17/2015,17:56:44,Main Run,2B,4,Radio,Visual Only,next trial,0:00:18.24,0.035,NA,NA,
xxx,5/17/2015,17:56:47,Main Run,2B,4,Radio,Visual Only,chime,0:00:21.46,3.219,NA,NA,
xxx,5/17/2015,17:56:48,Main Run,2B,4,Radio,Visual Only,r_command_correct,0:00:22.68,1.225,NA,NA,
xxx,5/17/2015,17:56:53,Main Run,2B,4,Radio,Visual Only,r_confirm_correct,0:00:27.66,4.976,NA,yes,
xxx,5/17/2015,17:56:53,Main Run,2B,5,Radio,Visual Only,next trial,0:00:27.69,0.037,NA,NA,
xxx,5/17/2015,17:56:55,Main Run,2B,5,Radio,Visual Only,chime,0:00:29.93,2.232,NA,NA,
xxx,5/17/2015,17:56:57,Main Run,2B,5,Radio,Visual Only,r_command_correct,0:00:31.19,1.268,NA,NA,
xxx,5/17/2015,17:57:01,Main Run,2B,5,Radio,Visual Only,r_confirm_correct,0:00:35.68,4.487,NA,yes,
xxx,5/17/2015,17:57:01,Main Run,2B,6,Radio,Visual Only,next trial,0:00:35.72,0.038,NA,NA,
xxx,5/17/2015,17:57:04,Main Run,2B,6,Radio,Visual Only,chime,0:00:38.94,3.22,NA,NA,
xxx,5/17/2015,17:57:08,Main Run,2B,6,Radio,Visual Only,r_command_correct,0:00:42.50,3.558,NA,NA,
xxx,5/17/2015,17:57:13,Main Run,2B,6,Radio,Visual Only,r_confirm_correct,0:00:47.51,5.016,NA,yes,
xxx,5/17/2015,17:57:13,Main Run,2B,7,Radio,Visual Only,next trial,0:00:47.54,0.029,NA,NA,
xxx,5/17/2015,17:57:15,Main Run,2B,7,Radio,Visual Only,chime,0:00:49.78,2.235,NA,NA,
xxx,5/17/2015,17:57:16,Main Run,2B,7,Radio,Visual Only,r_command_correct,0:00:50.67,0.897,NA,NA,
xxx,5/17/2015,17:57:21,Main Run,2B,7,Radio,Visual Only,r_confirm_correct,0:00:55.10,4.423,NA,yes,
xxx,5/17/2015,17:57:21,Main Run,2B,8,TDT Short,NA,next trial,0:00:55.13,0.033,NA,NA,
xxx,5/17/2015,17:57:24,Main Run,3A,1,TDT Long,NA,change scenario,0:00:58.02,58.022,NA,NA,
xxx,5/17/2015,17:57:26,Main Run,3A,1,TDT Long,NA,chime,0:01:00.16,60.167,NA,NA,
xxx,5/17/2015,17:57:27,Main Run,3A,1,TDT Long,NA,Start Run,0:00:00.00,0,NA,NA,
xxx,5/17/2015,17:57:32,Main Run,3A,1,TDT Long,NA,chime,0:00:05.03,5.032,NA,NA,
xxx,5/17/2015,17:57:33,Main Run,3A,9,Radio,Visual Only,Jump to trial 9,0:00:00.00,-5.032,NA,NA,
xxx,5/17/2015,17:57:36,Main Run,3A,9,Radio,Visual Only,chime,0:00:03.22,3.228,NA,NA,
xxx,5/17/2015,17:57:37,Main Run,3A,9,Radio,Visual Only,r_command_correct,0:00:04.10,0.876,NA,NA,
xxx,5/17/2015,17:57:42,Main Run,3A,9,Radio,Visual Only,r_confirm_correct,0:00:08.72,4.616,NA,yes,
xxx,5/17/2015,17:57:42,Main Run,3A,10,Radio,Visual Only,next trial,0:00:08.75,0.03,NA,NA,
xxx,5/17/2015,17:57:45,Main Run,3A,10,Radio,Visual Only,chime,0:00:11.97,3.222,NA,NA,
xxx,5/17/2015,17:57:46,Main Run,3A,10,Radio,Visual Only,r_command_correct,0:00:13.07,1.108,NA,NA,
xxx,5/17/2015,17:57:51,Main Run,3A,10,Radio,Visual Only,r_confirm_correct,0:00:18.20,5.12,NA,yes,
xxx,5/17/2015,17:57:51,Main Run,3A,11,Radio,Visual Only,next trial,0:00:18.24,0.04,NA,NA,
xxx,5/17/2015,17:57:54,Main Run,3A,11,Radio,Visual Only,chime,0:00:20.47,2.234,NA,NA,
xxx,5/17/2015,17:57:55,Main Run,3A,11,Radio,Visual Only,r_command_correct,0:00:21.58,1.109,NA,NA,
xxx,5/17/2015,17:57:59,Main Run,3A,11,Radio,Visual Only,r_confirm_correct,0:00:26.08,4.505,NA,yes,
xxx,5/17/2015,17:57:59,Main Run,3A,12,Radio,Visual Only,next trial,0:00:26.11,0.029,NA,NA,
xxx,5/17/2015,17:58:03,Main Run,3A,12,Radio,Visual Only,chime,0:00:29.33,3.218,NA,NA,
xxx,5/17/2015,17:58:03,Main Run,3A,12,Radio,Visual Only,r_command_correct,0:00:30.22,0.888,NA,NA,
xxx,5/17/2015,17:58:08,Main Run,3A,12,Radio,Visual Only,r_confirm_correct,0:00:35.07,4.857,NA,yes,
xxx,5/17/2015,17:58:08,Main Run,3A,13,Radio,Visual Only,next trial,0:00:35.10,0.028,NA,NA,
xxx,5/17/2015,17:58:11,Main Run,3A,13,Radio,Visual Only,chime,0:00:37.33,2.223,NA,NA,
xxx,5/17/2015,18:00:05,Main Run,3A,9,Radio,Visual Only,Jump to trial 9,0:00:00.00,-17.548,NA,NA,
xxx,5/17/2015,18:00:08,Main Run,3A,9,Radio,Visual Only,r_command_correct,0:00:02.71,2.713,NA,NA,
xxx,5/17/2015,18:00:09,Main Run,3A,9,Radio,Visual Only,chime,0:00:03.22,0.516,NA,NA,
xxx,5/17/2015,18:00:10,Main Run,3A,9,Radio,Visual Only,r_command_correct,0:00:04.43,1.204,NA,NA,
xxx,5/17/2015,18:00:15,Main Run,3A,9,Radio,Visual Only,r_confirm_correct,0:00:09.52,5.095,NA,yes,
xxx,5/17/2015,18:00:15,Main Run,3A,10,Radio,Visual Only,next trial,0:00:09.55,0.03,NA,NA,
xxx,5/17/2015,18:00:18,Main Run,3A,10,Radio,Visual Only,chime,0:00:12.78,3.231,NA,NA,
xxx,5/17/2015,18:00:19,Main Run,3A,10,Radio,Visual Only,r_command_correct,0:00:14.08,1.299,NA,NA,
xxx,5/17/2015,18:00:25,Main Run,3A,10,Radio,Visual Only,r_confirm_correct,0:00:19.93,5.848,NA,yes,
xxx,5/17/2015,18:00:25,Main Run,3A,11,Radio,Visual Only,next trial,0:00:19.95,0.022,NA,NA,
xxx,5/17/2015,18:00:29,Main Run,3A,11,Radio,Visual Only,chime,0:00:23.17,3.221,NA,NA,
xxx,5/17/2015,18:00:30,Main Run,3A,11,Radio,Visual Only,r_command_correct,0:00:24.70,1.526,NA,NA,
xxx,5/17/2015,18:00:35,Main Run,3A,11,Radio,Visual Only,r_confirm_correct,0:00:29.61,4.911,NA,yes,
xxx,5/17/2015,18:00:35,Main Run,3A,12,Radio,Visual Only,next trial,0:00:29.64,0.029,NA,NA,
xxx,5/17/2015,18:00:38,Main Run,3A,12,Radio,Visual Only,chime,0:00:32.86,3.222,NA,NA,
xxx,5/17/2015,18:00:39,Main Run,3A,12,Radio,Visual Only,r_command_correct,0:00:33.72,0.853,NA,NA,
xxx,5/17/2015,18:00:44,Main Run,3A,12,Radio,Visual Only,r_confirm_correct,0:00:38.64,4.929,NA,yes,
xxx,5/17/2015,18:00:44,Main Run,3A,13,Radio,Visual Only,next trial,0:00:38.69,0.051,NA,NA,
xxx,5/17/2015,18:00:46,Main Run,3A,13,Radio,Visual Only,chime,0:00:40.94,2.247,NA,NA,
xxx,5/17/2015,18:00:47,Main Run,3A,13,Radio,Visual Only,r_command_correct,0:00:41.71,0.773,NA,NA,
