Trial,Task,Mode,Name,Cuisine,Rating,Reviews,Price,Distance,Score,N_Audio,R_Name,R_Audio_Prompt,R_Audio_Confirm,R_Name_Incorrect,R_Audio_Incorrect
1,TDT Short,NA,NA,NA,-5,-5,NA,-5,-5,NA,NA,NA,NA,NA,NA
2,Nav Easy,Audio Only,Shake Shack,American,4.5,198,$$,8.5,1,a_trial01.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Audio Only,Mojito,Cuban,4.5,37,$$$$,8.9,0,a_trial01.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Audio Only,Off The Record,American,4,33,$$$,14.7,0,a_trial01.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Audio Only,Sticky Rice,Chinese,3.5,109,$$,16.2,0,a_trial01.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Audio Only,Indigo,French,4,118,$$$,24.6,0,a_trial01.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Moe's Southwest Grill,Mexican,1,4,$$$,4.4,0,a_trial02.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Bite of India,Indian,5,97,$$,7,0,a_trial02.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Hank's Oyster Bar,Seafood,3.5,4,$$$$,14.5,0,a_trial02.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,The Palm,American,4,27,$$,17.1,1,a_trial02.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,The Prime Rib,American,3,19,$$$$,27.2,0,a_trial02.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,Forbidden City,Chinese,5,89,$$$,2.5,0,a_trial03.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,White Apron,American,5,28,$$,3.2,1,a_trial03.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,Green House,Korean,4,106,$$,12.9,0,a_trial03.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,Ginger Palace,Chinese,5,3,$,13.9,0,a_trial03.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,Daniels Broiler,American,4.5,111,$$$,25.2,0,a_trial03.mp3,NA,NA,NA,NA,NA
5,Nav Hard,Audio Only,Old Glory BBQ,American,2.5,241,$$,7.6,0,a_trial04.mp3,NA,NA,NA,NA,NA
5,Nav Hard,Audio Only,Desert Fire,American,3.5,168,$$,11.9,0,a_trial04.mp3,NA,NA,NA,NA,NA
5,Nav Hard,Audio Only,Bar Flight,American,3,59,$$,19,0,a_trial04.mp3,NA,NA,NA,NA,NA
5,Nav Hard,Audio Only,The Pita Pit,Greek,5,104,$,21.2,0,a_trial04.mp3,NA,NA,NA,NA,NA
5,Nav Hard,Audio Only,Divine Dining,American,4,87,$,28.4,1,a_trial04.mp3,NA,NA,NA,NA,NA
6,Nav Hard,Audio Only,Gyro Hut,Greek,3,95,$,4,0,a_trial05.mp3,NA,NA,NA,NA,NA
6,Nav Hard,Audio Only,Food for Thought,American,3,144,$$$,7.1,0,a_trial05.mp3,NA,NA,NA,NA,NA
6,Nav Hard,Audio Only,Kings Kitchen,American,4,222,$$$,15.9,0,a_trial05.mp3,NA,NA,NA,NA,NA
6,Nav Hard,Audio Only,Jak's Grill,American,4.5,114,$$,18.9,1,a_trial05.mp3,NA,NA,NA,NA,NA
6,Nav Hard,Audio Only,Grill to Chill,American,4,144,$$$,22.2,0,a_trial05.mp3,NA,NA,NA,NA,NA
7,Nav Hard,Audio Only,Cooper's Kitchen,American,3.5,88,$$$,4.9,0,a_trial06.mp3,NA,NA,NA,NA,NA
7,Nav Hard,Audio Only,The Ram,American,4.5,12,$$,10.2,1,a_trial06.mp3,NA,NA,NA,NA,NA
7,Nav Hard,Audio Only,District Taco,Mexican,4.5,81,$,22.2,0,a_trial06.mp3,NA,NA,NA,NA,NA
7,Nav Hard,Audio Only,Hot Spot,American,4,252,$$$,28.1,0,a_trial06.mp3,NA,NA,NA,NA,NA
7,Nav Hard,Audio Only,Mr. Beans,American,2.5,208,$$$,29,0,a_trial06.mp3,NA,NA,NA,NA,NA
8,TDT Short,NA,NA,NA,-5,-5,NA,-5,-5,NA,NA,NA,NA,NA,NA
9,Nav Easy,Visual Only,Mamma Lucia,Italian,4,17,$$,1.2,0,v_trial01.mp3,NA,NA,NA,NA,NA
9,Nav Easy,Visual Only,Lighthouse Tofu,Korean,4,16,$$$,2.9,0,v_trial01.mp3,NA,NA,NA,NA,NA
9,Nav Easy,Visual Only,Gordon Biersch,American,4,82,$$,11.7,1,v_trial01.mp3,NA,NA,NA,NA,NA
9,Nav Easy,Visual Only,Mykonos Grill,Greek,4,20,$$$,19.7,0,v_trial01.mp3,NA,NA,NA,NA,NA
9,Nav Easy,Visual Only,Quench,American,3,25,$$$,23.7,0,v_trial01.mp3,NA,NA,NA,NA,NA
10,Nav Easy,Visual Only,Sushi Zo,Japanese,4,9,$$$$,12.4,0,v_trial02.mp3,NA,NA,NA,NA,NA
10,Nav Easy,Visual Only,Harold Black,American,4.5,184,$$,15.7,1,v_trial02.mp3,NA,NA,NA,NA,NA
10,Nav Easy,Visual Only,The Capital Grille,American,4,74,$$$,17.6,0,v_trial02.mp3,NA,NA,NA,NA,NA
10,Nav Easy,Visual Only,Macho Taco,Mexican,3,55,$$,25.1,0,v_trial02.mp3,NA,NA,NA,NA,NA
10,Nav Easy,Visual Only,Paul's Bakery,French,4,67,$,26,0,v_trial02.mp3,NA,NA,NA,NA,NA
11,Nav Easy,Visual Only,McDonalds,American,2.5,34,$,3.3,1,v_trial03.mp3,NA,NA,NA,NA,NA
11,Nav Easy,Visual Only,Ambrosia,Greek,2,2,$$$,13.1,0,v_trial03.mp3,NA,NA,NA,NA,NA
11,Nav Easy,Visual Only,Kona Kitchen,Japanese,3.5,39,$,15.7,0,v_trial03.mp3,NA,NA,NA,NA,NA
11,Nav Easy,Visual Only,Bamboo Garden,Chinese,4.5,74,$$,11.7,0,v_trial03.mp3,NA,NA,NA,NA,NA
11,Nav Easy,Visual Only,Proof,American,2,44,$$,19.6,0,v_trial03.mp3,NA,NA,NA,NA,NA
12,Nav Hard,Visual Only,Black Salt,American,3.5,33,$$$,5,0,v_trail04.mp3,NA,NA,NA,NA,NA
12,Nav Hard,Visual Only,Founding Farmers,American,3,183,$$$,8.1,0,v_trail04.mp3,NA,NA,NA,NA,NA
12,Nav Hard,Visual Only,Art and Soul,American,4.5,162,$$,11.5,1,v_trail04.mp3,NA,NA,NA,NA,NA
12,Nav Hard,Visual Only,Azteca,Mexican,3,103,$$,13.5,0,v_trail04.mp3,NA,NA,NA,NA,NA
12,Nav Hard,Visual Only,KFC,American,2.5,37,$$$,19.3,0,v_trail04.mp3,NA,NA,NA,NA,NA
13,Nav Hard,Visual Only,Fourth Estate,American,3.5,53,$$,2.1,0,v_trial05.mp3,NA,NA,NA,NA,NA
13,Nav Hard,Visual Only,Bob's Big Boy,American,3.5,86,$$,5.2,0,v_trial05.mp3,NA,NA,NA,NA,NA
13,Nav Hard,Visual Only,Island Pride,Jamaican,4,10,$,12.1,0,v_trial05.mp3,NA,NA,NA,NA,NA
13,Nav Hard,Visual Only,The Pig,American,4,87,$$,21.5,0,v_trial05.mp3,NA,NA,NA,NA,NA
13,Nav Hard,Visual Only,Logan Tavern,American,4.5,164,$,24.2,1,v_trial05.mp3,NA,NA,NA,NA,NA
14,Nav Hard,Visual Only,Betty's Bakery,French,2,150,$,5.4,0,v_trial06.mp3,NA,NA,NA,NA,NA
14,Nav Hard,Visual Only,Burger King,American,3.5,54,$,3.7,1,v_trial06.mp3,NA,NA,NA,NA,NA
14,Nav Hard,Visual Only,Bub and Pop's,American,4.5,279,$$$,9.2,0,v_trial06.mp3,NA,NA,NA,NA,NA
14,Nav Hard,Visual Only,Central Michel Richard,American,4.5,11,$$,14.6,0,v_trial06.mp3,NA,NA,NA,NA,NA
14,Nav Hard,Visual Only,Morton's,American,4,9,$$,16.4,0,v_trial06.mp3,NA,NA,NA,NA,NA
15,TDT Long,NA,NA,NA,-5,-5,NA,-5,-5,NA,NA,NA,NA,NA,NA
