Trial,Task,Mode,Name,Cuisine,Rating,Reviews,Price,Distance,Score,N_Audio,R_Name,R_Audio_Prompt,R_Audio_Confirm,R_Name_Incorrect,R_Audio_Incorrect
1,Nav Easy,Audio Only,Ripple,American,4,69,$,1.2,1,p_a_trial_1.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Audio Only,Incanto,Italian,3,25,$$,3.8,0,p_a_trial_1.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Audio Only,Sushi House,Japanese,4.5,24,$$$$,11.2,0,p_a_trial_1.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Audio Only,Carving Room,American,3.5,380,$$,13.1,0,p_a_trial_1.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Audio Only,The Pineapple Room,Hawaiian,3.5,31,$$$,15.3,0,p_a_trial_1.mp3,NA,NA,NA,NA,NA
2,Nav Hard,Audio Only,Little Delhi,Indian,4,114,$$,2.4,0,p_a_trial_2.mp3,NA,NA,NA,NA,NA
2,Nav Hard,Audio Only,The Ramp,American,3,71,$$,4.2,0,p_a_trial_2.mp3,NA,NA,NA,NA,NA
2,Nav Hard,Audio Only,Firefly Restaurant,American,4.5,179,$,11.4,1,p_a_trial_2.mp3,NA,NA,NA,NA,NA
2,Nav Hard,Audio Only,Blue Plate,American,4,169,$$,18.1,0,p_a_trial_2.mp3,NA,NA,NA,NA,NA
2,Nav Hard,Audio Only,Straw,American,3.5,142,$$,25.1,0,p_a_trial_2.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Ristorante Simone,Italian,4,69,$$,2.8,0,p_a_trial_3.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Nishimura,Japanese,5,121,$$$,5.7,0,p_a_trial_3.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Saha Restaurant,Middle Eastern,4,72,$$$$,7.4,0,p_a_trial_3.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Barrel,American,4,11,$$$,15.9,1,p_a_trial_3.mp3,NA,NA,NA,NA,NA
3,Nav Easy,Audio Only,Tune Inn,American,3.5,153,$$$$,21.7,0,p_a_trial_3.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,The List,Italian,4.5,245,$$$$,1.3,0,p_a_trial_4.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,Royal India,Indian,3.5,58,$,10,0,p_a_trial_4.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,Loaf Around,American,3,129,$$,11.7,1,p_a_trial_4.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,The Great Wall,Chinese,4,38,$,14.3,0,p_a_trial_4.mp3,NA,NA,NA,NA,NA
4,Nav Easy,Audio Only,Rib Rage,American,2.5,238,$$$,24,0,p_a_trial_4.mp3,NA,NA,NA,NA,NA
5,Nav Easy,Audio Only,Fontina Grille,Italian,4,21,$$,14.7,0,p_a_trial_5.mp3,NA,NA,NA,NA,NA
5,Nav Easy,Audio Only,Red Robin,American,4.5,172,$,14.7,1,p_a_trial_5.mp3,NA,NA,NA,NA,NA
5,Nav Easy,Audio Only,Sushi Damo,Japanese,4,25,$$$,14.7,0,p_a_trial_5.mp3,NA,NA,NA,NA,NA
5,Nav Easy,Audio Only,In-N-Out Burger,American,4,158,$$,17.2,0,p_a_trial_5.mp3,NA,NA,NA,NA,NA
5,Nav Easy,Audio Only,Mandarin Express,Chinese,3.5,9,$,18.8,0,p_a_trial_5.mp3,NA,NA,NA,NA,NA
6,Nav Easy,Audio Only,Commonwealth,American,3.5,32,$,2.7,1,p_a_trial_6.mp3,NA,NA,NA,NA,NA
6,Nav Easy,Audio Only,The Blue Glass,American,3,62,$$,9.5,0,p_a_trial_6.mp3,NA,NA,NA,NA,NA
6,Nav Easy,Audio Only,Poseidon's Palace,Greek,3.5,63,$,11,0,p_a_trial_6.mp3,NA,NA,NA,NA,NA
6,Nav Easy,Audio Only,Papa Johns,Pizza,2.5,63,$,12.6,0,p_a_trial_6.mp3,NA,NA,NA,NA,NA
6,Nav Easy,Audio Only,Rising Sun Sushi,Japanese,2.5,3,$$$,15.1,0,p_a_trial_6.mp3,NA,NA,NA,NA,NA
7,Nav Easy,Audio Only,Pho Sure,Vietnamese,3,3,$,5.8,0,p_a_trial_7.mp3,NA,NA,NA,NA,NA
7,Nav Easy,Audio Only,Dijon Bomb,American,3,256,$,4.1,1,p_a_trial_7.mp3,NA,NA,NA,NA,NA
7,Nav Easy,Audio Only,Dine and Dash,American,2.5,184,$$,9.2,0,p_a_trial_7.mp3,NA,NA,NA,NA,NA
7,Nav Easy,Audio Only,Rumba,Cuban,4,88,$,20.4,0,p_a_trial_7.mp3,NA,NA,NA,NA,NA
7,Nav Easy,Audio Only,Contigo,Spanish,4.5,61,$,21.4,0,p_a_trial_7.mp3,NA,NA,NA,NA,NA
