Trial,Task,Mode,Name,Cuisine,Rating,Reviews,Price,Distance,Score,N_Audio,R_Name,R_Audio_Prompt,R_Audio_Confirm,R_Name_Incorrect,R_Audio_Incorrect
1,Nav Easy,Hybrid,Bangkok Chef,Thai,4,72,$$$$,7.4,0,trial05.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Hybrid,The Carving Board,American,3,17,$$,9.3,1,trial05.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Hybrid,DC Steak House,American,2.5,64,$$$$,10.1,0,trial05.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Hybrid,Heavenly Havana ,Cuban,4,1,$,17.2,0,trial05.mp3,NA,NA,NA,NA,NA
1,Nav Easy,Hybrid,Eiffel Tower Cafe,French,2,125,$$$,20.9,0,trial05.mp3,NA,NA,NA,NA,NA

2,Nav Easy,Hybrid,Komi,Greek,4.5,98,$$$,0.2,0,trial02.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Hybrid,The Potomac Grill,American,4,9,$$,4.1,1,trial02.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Hybrid,Cheesecake Factory,American,3.5,99,$$$,4.8,0,trial02.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Hybrid,China First,Chinese,3,48,$,10.3,0,trial02.mp3,NA,NA,NA,NA,NA
2,Nav Easy,Hybrid,Olive Garden,Italian,2.5,68,$$,12.8,0,trial02.mp3,NA,NA,NA,NA,NA

3,Nav Hard,Hybrid,Lincoln,American,4,53,$$,2,0,trial03.mp3,NA,NA,NA,NA,NA
3,Nav Hard,Hybrid,What the Pho,Vietnamese,4,14,$,3,0,trial03.mp3,NA,NA,NA,NA,NA
3,Nav Hard,Hybrid,Chicken Bone,American,2.5,37,$$,4.2,0,trial03.mp3,NA,NA,NA,NA,NA
3,Nav Hard,Hybrid,Wicked Waffle,American,4.5,57,$,14.2,1,trial03.mp3,NA,NA,NA,NA,NA
3,Nav Hard,Hybrid,DC Grill,American,2.5,70,$$$,20.6,0,trial03.mp3,NA,NA,NA,NA,NA

4,TDT,NA,NA,NA,-5,-5,NA,-5,-5,NA,NA,NA,NA,NA,NA

5,Radio,Visual Only,NA,NA,-5,-5,NA,-5,-5,NA,ESPN Xtreme,r_play_espn.mp3,r_confirm_espn.mp3,Electronic Dance,r_err_edm.mp3
6,Radio,Visual Only,NA,NA,-5,-5,NA,-5,-5,NA,Christian Rock,r_play_christian.mp3,r_confirm_christian.mp3,Classic Rock,r_err_rock.mp3
7,Radio,Visual Only,NA,NA,-5,-5,NA,-5,-5,NA,Radio Disney,r_play_disney.mp3,r_confirm_disney.mp3,Family Station,r_confirm_family.mp3

8,TDT,NA,NA,NA,-5,-5,NA,-5,-5,NA,NA,NA,NA,NA,NA

9,Nav Hard,Audio Only,Blue Diamond Brewery,American,4.5,82,$$,1.7,1,trial08.mp3,NA,NA,NA,NA,NA
9,Nav Hard,Audio Only,Burger Barn,American,3,15,$$,12.3,0,trial08.mp3,NA,NA,NA,NA,NA
9,Nav Hard,Audio Only,Satis Fried,American,2,97,$$,13,0,trial08.mp3,NA,NA,NA,NA,NA
9,Nav Hard,Audio Only,Dairy Queen,American,2,117,$,25.6,0,trial08.mp3,NA,NA,NA,NA,NA
9,Nav Hard,Audio Only,Ristorante Simone,Italian,4,69,$$,28.9,0,trial08.mp3,NA,NA,NA,NA,NA

10,Nav Hard,Audio Only,The Hunger Gains,American,3,75,$$$$,2,0,trial09.mp3,NA,NA,NA,NA,NA
10,Nav Hard,Audio Only,National Treasure,American,4.5,63,$,6.7,1,trial09.mp3,NA,NA,NA,NA,NA
10,Nav Hard,Audio Only,Cedar,American,4,41,$$,9.3,0,trial09.mp3,NA,NA,NA,NA,NA
10,Nav Hard,Audio Only,China Bistro,Chinese,4,37,$,9.8,0,trial09.mp3,NA,NA,NA,NA,NA
10,Nav Hard,Audio Only,Southern Kitchen,American,4,133,$$,29.1,0,trial09.mp3,NA,NA,NA,NA,NA

11,Nav Hard,Audio Only,Spice Xing,Indian,4,36,$$,8.8,0,trial10.mp3,NA,NA,NA,NA,NA
11,Nav Hard,Audio Only,Seasons 52,American,3.5,22,$$,9.5,0,trial10.mp3,NA,NA,NA,NA,NA
11,Nav Hard,Audio Only,Nick's Chophouse,American,4,6,$$$$,10.3,0,trial10.mp3,NA,NA,NA,NA,NA
11,Nav Hard,Audio Only,Alpha Pi,American,3.5,39,$$,19.4,0,trial10.mp3,NA,NA,NA,NA,NA
11,Nav Hard,Audio Only,Guapo's,American,4.5,62,$,20.7,1,trial10.mp3,NA,NA,NA,NA,NA
